14261113
984 984
(9999.9,0.1), (9999.9,9999.9)
(9999.8,0.1), (9999.9,0.1)
(9999.9,9999.9), (9999.8,9999.9)
(9999.8,0.1), (9999.8,7.9)
(9999.8,7.9), (3675.9,7.9)
(3675.9,7.9), (3675.9,8.1)
(3675.9,8.1), (9999.8,8.1)
(9999.8,8.1), (9999.8,25.9)
(9999.8,25.9), (247.9,25.9)
(247.9,25.9), (247.9,26.1)
(247.9,26.1), (9999.8,26.1)
(9999.8,26.1), (9999.8,40.9)
(9999.8,40.9), (903.9,40.9)
(903.9,40.9), (903.9,41.1)
(903.9,41.1), (9999.8,41.1)
(9999.8,41.1), (9999.8,50.9)
(9999.8,50.9), (3305.9,50.9)
(3305.9,50.9), (3305.9,51.1)
(3305.9,51.1), (9999.8,51.1)
(9999.8,51.1), (9999.8,61.9)
(9999.8,61.9), (5129.9,61.9)
(5129.9,61.9), (5129.9,62.1)
(5129.9,62.1), (9999.8,62.1)
(9999.8,62.1), (9999.8,69.9)
(9999.8,69.9), (237.9,69.9)
(237.9,69.9), (237.9,70.1)
(237.9,70.1), (9999.8,70.1)
(9999.8,70.1), (9999.8,77.9)
(9999.8,77.9), (814.9,77.9)
(814.9,77.9), (814.9,78.1)
(814.9,78.1), (9999.8,78.1)
(9999.8,78.1), (9999.8,126.9)
(9999.8,126.9), (2077.9,126.9)
(2077.9,126.9), (2077.9,127.1)
(2077.9,127.1), (9999.8,127.1)
(9999.8,127.1), (9999.8,149.9)
(9999.8,149.9), (4394.9,149.9)
(4394.9,149.9), (4394.9,150.1)
(4394.9,150.1), (9999.8,150.1)
(9999.8,150.1), (9999.8,169.9)
(9999.8,169.9), (5105.9,169.9)
(5105.9,169.9), (5105.9,170.1)
(5105.9,170.1), (9999.8,170.1)
(9999.8,170.1), (9999.8,177.9)
(9999.8,177.9), (1162.9,177.9)
(1162.9,177.9), (1162.9,178.1)
(1162.9,178.1), (9999.8,178.1)
(9999.8,178.1), (9999.8,212.9)
(9999.8,212.9), (2742.9,212.9)
(2742.9,212.9), (2742.9,213.1)
(2742.9,213.1), (9999.8,213.1)
(9999.8,213.1), (9999.8,251.9)
(9999.8,251.9), (1780.9,251.9)
(1780.9,251.9), (1780.9,252.1)
(1780.9,252.1), (9999.8,252.1)
