29572106
568 568
(0, 0), (0, 2299.8)
(0, 2400), (0, 3099.8)
(0, 3200), (0, 4099.8)
(0, 4400), (0, 5199.8)
(0, 5300), (0, 5999.8)
(0, 6100), (0, 6399.8)
(0, 6500), (0, 6599.8)
(0, 6700), (0, 7299.8)
(0, 7400), (0, 9199.8)
(0, 9300), (0, 10000)
(0.2, 9799.8), (0.2, 9999.8)
(99.8, 2199.8), (99.8, 2299.8)
(99.8, 2899.8), (99.8, 3099.8)
(100, 3100), (100, 3200)
(100, 4099.8), (100, 4199.8)
(100, 4300), (100, 4400)
(100, 5199.8), (100, 5300)
(100, 5999.8), (100, 6100)
(100, 6399.8), (100, 6500)
(100, 6599.8), (100, 6700)
(100, 7299.8), (100, 7400)
(100, 9199.8), (100, 9300)
(100, 9799.8), (100, 9899.8)
(200, 2199.8), (200, 2400)
(200, 2899.8), (200, 3100)
(200, 4199.8), (200, 4300)
(299.8, 0), (299.8, 100)
(299.8, 1899.8), (299.8, 9899.8)
(300, 2000), (300, 9899.8)
(400, 0), (400, 100)
(499.8, 6099.8), (499.8, 9899.8)
(500, 1899.8), (500, 2000)
(500, 6300), (500, 9899.8)
(599.8, 3899.8), (599.8, 6099.8)
(600, 4100), (600, 6300)
(699.8, 6199.8), (699.8, 9899.8)
(700, 3899.8), (700, 4100)
(700, 6300), (700, 9899.8)
(800, 6199.8), (800, 6300)
(999.8, 4599.8), (999.8, 9899.8)
(1000, 4700), (1000, 9899.8)
(1199.8, 2599.8), (1199.8, 4599.8)
(1199.8, 5399.8), (1199.8, 9899.8)
(1200, 2700), (1200, 4700)
(1200, 5500), (1200, 9199.8)
(1200, 9400), (1200, 9899.8)
(1300, 2599.8), (1300, 2700)
(1300, 9199.8), (1300, 9299.8)
(1399.8, 599.8), (1399.8, 5399.8)
(1399.8, 9199.8), (1399.8, 9299.8)
(1400, 900), (1400, 1699.8)
(1400, 1900), (1400, 5500)
(1400, 9300), (1400, 9400)
(1499.8, 8899.8), (1499.8, 9199.8)
(1499.8, 9300), (1499.8, 9500)
(1500, 700), (1500, 900)
(1500, 1699.8), (1500, 1799.8)
(1500, 9100), (1500, 9199.8)
(1599.8, 0), (1599.8, 100)
(1599.8, 5299.8), (1599.8, 8899.8)
(1600, 599.8), (1600, 700)
(1600, 5500), (1600, 7299.8)
(1600, 7400), (1600, 8999.8)
(1600, 9199.8), (1600, 9500)
(1699.8, 7099.8), (1699.8, 7299.8)
(1700, 0), (1700, 100)
(1700, 1799.8), (1700, 1900)
(1700, 5299.8), (1700, 5500)
(1700, 7200), (1700, 7400)
(1799.8, 8599.8), (1799.8, 8999.8)
(1800, 8800), (1800, 9100)
(1899.8, 1699.8), (1899.8, 7099.8)
(1900, 1800), (1900, 7200)
(1900, 8599.8), (1900, 8800)
(1999.8, 1099.8), (1999.8, 1699.8)
(1999.8, 8999.8), (1999.8, 9899.8)
(2000, 1300), (2000, 1800)
(2000, 9100), (2000, 9899.8)
(2099.8, 8899.8), (2099.8, 8999.8)
(2099.8, 9100), (2099.8, 9200)
(2100, 1099.8), (2100, 1300)
(2200, 8899.8), (2200, 8999.8)
(2200, 9100), (2200, 9200)
(2299.8, 6399.8), (2299.8, 8999.8)
(2300, 6600), (2300, 9100)
(2399.8, 0), (2399.8, 100)
