2383592
984 984
(9999.9,0.1), (9999.9,9999.9)
(9999.8,0.1), (9999.9,0.1)
(9999.9,9999.9), (9999.8,9999.9)
(9999.8,0.1), (9999.8,39.9)
(9999.8,39.9), (6080.9,39.9)
(6080.9,39.9), (6080.9,40.1)
(6080.9,40.1), (9999.8,40.1)
(9999.8,40.1), (9999.8,72.9)
(9999.8,72.9), (4999.9,72.9)
(4999.9,72.9), (4999.9,73.1)
(4999.9,73.1), (9999.8,73.1)
(9999.8,73.1), (9999.8,73.9)
(9999.8,73.9), (8747.9,73.9)
(8747.9,73.9), (8747.9,74.1)
(8747.9,74.1), (9999.8,74.1)
(9999.8,74.1), (9999.8,84.9)
(9999.8,84.9), (6308.9,84.9)
(6308.9,84.9), (6308.9,85.1)
(6308.9,85.1), (9999.8,85.1)
(9999.8,85.1), (9999.8,96.9)
(9999.8,96.9), (8850.9,96.9)
(8850.9,96.9), (8850.9,97.1)
(8850.9,97.1), (9999.8,97.1)
(9999.8,97.1), (9999.8,139.9)
(9999.8,139.9), (8738.9,139.9)
(8738.9,139.9), (8738.9,140.1)
(8738.9,140.1), (9999.8,140.1)
(9999.8,140.1), (9999.8,173.9)
(9999.8,173.9), (2517.9,173.9)
(2517.9,173.9), (2517.9,174.1)
(2517.9,174.1), (9999.8,174.1)
(9999.8,174.1), (9999.8,248.9)
(9999.8,248.9), (7327.9,248.9)
(7327.9,248.9), (7327.9,249.1)
(7327.9,249.1), (9999.8,249.1)
(9999.8,249.1), (9999.8,253.9)
(9999.8,253.9), (6200.9,253.9)
(6200.9,253.9), (6200.9,254.1)
(6200.9,254.1), (9999.8,254.1)
(9999.8,254.1), (9999.8,269.9)
(9999.8,269.9), (8321.9,269.9)
(8321.9,269.9), (8321.9,270.1)
(8321.9,270.1), (9999.8,270.1)
(9999.8,270.1), (9999.8,345.9)
(9999.8,345.9), (3835.9,345.9)
(3835.9,345.9), (3835.9,346.1)
(3835.9,346.1), (9999.8,346.1)
(9999.8,346.1), (9999.8,354.9)
(9999.8,354.9), (7226.9,354.9)
(7226.9,354.9), (7226.9,355.1)
(7226.9,355.1), (9999.8,355.1)
(9999.8,355.1), (9999.8,363.9)
(9999.8,363.9), (2528.9,363.9)
(2528.9,363.9), (2528.9,364.1)
