23675351
986 986
(0, 0), (0, 599.8)
(0, 700), (0, 999.8)
(0, 1100), (0, 1299.8)
(0, 1400), (0, 1499.8)
(0, 1600), (0, 2099.8)
(0, 2200), (0, 2399.8)
(0, 2600), (0, 2999.8)
(0, 3400), (0, 3699.8)
(0, 3800), (0, 4099.8)
(0, 4200), (0, 4699.8)
(0, 4800), (0, 5099.8)
(0, 5200), (0, 5399.8)
(0, 5500), (0, 5999.8)
(0, 6200), (0, 6399.8)
(0, 6500), (0, 6999.8)
(0, 7100), (0, 7799.8)
(0, 8400), (0, 8499.8)
(0, 8600), (0, 8999.8)
(0, 9100), (0, 9499.8)
(0, 9600), (0, 10000)
(0.2, 1699.8), (0.2, 1900)
(0.2, 5599.8), (0.2, 5700)
(0.2, 9699.8), (0.2, 9999.8)
(99.8, 1600), (99.8, 1699.8)
(99.8, 5500), (99.8, 5599.8)
(99.8, 6200), (99.8, 6300)
(99.8, 8600), (99.8, 8800)
(100, 599.8), (100, 700)
(100, 999.8), (100, 1100)
(100, 1299.8), (100, 1400)
(100, 1700), (100, 1799.8)
(100, 2099.8), (100, 2200)
(100, 3100), (100, 3199.8)
(100, 3300), (100, 3400)
(100, 4099.8), (100, 4200)
(100, 4699.8), (100, 4800)
(100, 5099.8), (100, 5200)
(100, 5600), (100, 5700)
(100, 6999.8), (100, 7100)
(100, 7799.8), (100, 7899.8)
(100, 8000), (100, 8199.8)
(100, 8300), (100, 8400)
(100, 9699.8), (100, 9899.8)
(199.8, 2899.8), (199.8, 2999.8)
(199.8, 5600), (199.8, 5700)
(200, 1499.8), (200, 1700)
(200, 1799.8), (200, 1900)
(200, 2399.8), (200, 2600)
(200, 3199.8), (200, 3300)
(200, 3699.8), (200, 3800)
(200, 5500), (200, 5700)
(200, 7899.8), (200, 8000)
(200, 8199.8), (200, 8300)
(200, 8499.8), (200, 8599.8)
(200, 8700), (200, 8800)
(200, 8999.8), (200, 9100)
(200, 9499.8), (200, 9600)
(200.2, 5599.8), (200.2, 5700)
(299.8, 0), (299.8, 100)
(299.8, 5299.8), (299.8, 5399.8)
(299.8, 5500), (299.8, 5599.8)
(299.8, 8499.8), (299.8, 8599.8)
(300, 2899.8), (300, 3100)
(300, 5999.8), (300, 6199.8)
(300, 6399.8), (300, 6500)
(399.8, 100), (399.8, 200)
(399.8, 7899.8), (399.8, 8499.8)
(400, 5299.8), (400, 5399.8)
(400, 5500), (400, 5700)
(400, 6199.8), (400, 6300)
(400, 8000), (400, 8700)
(499.8, 200), (499.8, 400)
(499.8, 5599.8), (499.8, 7899.8)
(499.8, 8000), (499.8, 8100)
(500, 5399.8), (500, 5500)
(500, 5700), (500, 7899.8)
(599.8, 2999.8), (599.8, 5599.8)
(599.8, 5700), (599.8, 5800)
(600, 0), (600, 99.8)
(600, 200), (600, 400)
(600, 3100), (600, 5599.8)
(600, 7899.8), (600, 7999.8)
(699.8, 2599.8), (699.8, 2999.8)
(699.8, 3100), (699.8, 3200)
(699.8, 5499.8), (699.8, 5599.8)
(700, 99.8), (700, 200)
(700, 2700), (700, 2799.8)
(799.8, 3200), (799.8, 3300)
(799.8, 8999.8), (799.8, 9899.8)
(800, 2900), (800, 2999.8)
(800, 3100), (800, 3300)
(800, 5600), (800, 5699.8)
(800, 9100), (800, 9899.8)
(800.2, 3199.8), (800.2, 3300)
(899.8, 1499.8), (899.8, 2599.8)
(899.8, 3100), (899.8, 3199.8)
(899.8, 3899.8), (899.8, 5499.8)
(899.8, 7799.8), (899.8, 7999.8)
(899.8, 8799.8), (899.8, 8900)
(900, 1600), (900, 2599.8)
(900, 4000), (900, 4499.8)
(900, 4700), (900, 5499.8)
(900, 5699.8), (900, 5800)
(999.8, 2499.8), (999.8, 2599.8)
(999.8, 8900), (999.8, 8999.8)
(1000, 2999.8), (1000, 3300)
(1000, 4499.8), (1000, 4599.8)
(1000, 5499.8), (1000, 5600)
(1000, 7799.8), (1000, 7999.8)
(1099.8, 1699.8), (1099.8, 1800)
(1099.8, 3799.8), (1099.8, 3899.8)
(1099.8, 4999.8), (1099.8, 7700)
(1099.8, 7899.8), (1099.8, 7999.8)
(1099.8, 8100), (1099.8, 8200)
(1099.8, 9100), (1099.8, 9400)
(1100, 2799.8), (1100, 2900)
(1100, 5200), (1100, 7599.8)
(1100, 8799.8), (1100, 8899.8)
(1199.8, 1600), (1199.8, 1699.8)
(1199.8, 7499.8), (1199.8, 7599.8)
(1199.8, 7700), (1199.8, 7899.8)
(1199.8, 8499.8), (1199.8, 8899.8)
(1200, 2499.8), (1200, 2700)
(1200, 3799.8), (1200, 4000)
(1200, 7900), (1200, 7999.8)
(1200, 8100), (1200, 8200)
(1200, 9100), (1200, 9299.8)
(1299.8, 299.8), (1299.8, 1499.8)
(1299.8, 5799.8), (1299.8, 7499.8)
(1299.8, 8399.8), (1299.8, 8499.8)
(1300, 500), (1300, 1699.8)
(1300, 4599.8), (1300, 4700)
(1300, 4999.8), (1300, 5200)
(1300, 5900), (1300, 7900)
(1300, 9000), (1300, 9100)
(1300, 9299.8), (1300, 9400)
(1399.8, 0), (1399.8, 100)
(1399.8, 500), (1399.8, 700)
(1399.8, 1499.8), (1399.8, 1699.8)
(1400, 7999.8), (1400, 8100)
(1400, 8600), (1400, 9000)
(1499.8, 2099.8), (1499.8, 5799.8)
(1499.8, 7799.8), (1499.8, 8399.8)
(1500, 0), (1500, 100)
(1500, 299.8), (1500, 599.8)
(1500, 1499.8), (1500, 1800)
(1500, 2200), (1500, 5799.8)
(1500, 7900), (1500, 8299.8)
(1599.8, 1999.8), (1599.8, 2099.8)
(1599.8, 7900), (1599.8, 8000)
(1600, 599.8), (1600, 700)
(1600, 5799.8), (1600, 5900)
(1600, 8299.8), (1600, 8600)
(1700, 1999.8), (1700, 2099.8)
(1799.8, 899.8), (1799.8, 2099.8)
