150583261
374 374
(0, 0), (0, 10000)
(0.2, 9899.8), (0.2, 9999.8)
(99.8, 0), (99.8, 100)
(99.8, 1699.8), (99.8, 9899.8)
(100, 1800), (100, 1899.8)
(100, 2000), (100, 9899.8)
(200, 0), (200, 100)
(200, 1699.8), (200, 1800)
(200, 1899.8), (200, 2000)
(299.8, 2999.8), (299.8, 9899.8)
(300, 3100), (300, 5999.8)
(300, 6100), (300, 9899.8)
(399.8, 9599.8), (399.8, 9899.8)
(400, 2999.8), (400, 3100)
(400, 5999.8), (400, 6100)
(400, 9700), (400, 9799.8)
(499.8, 6899.8), (499.8, 9599.8)
(500, 7000), (500, 9700)
(500, 9799.8), (500, 9899.8)
(599.8, 3699.8), (599.8, 6899.8)
(600, 3800), (600, 6699.8)
(600, 6800), (600, 7000)
(699.8, 4599.8), (699.8, 6699.8)
(700, 3699.8), (700, 3800)
(700, 4700), (700, 6800)
(800, 4599.8), (800, 4700)
(899.8, 1899.8), (899.8, 9899.8)
(900, 2000), (900, 9899.8)
(999.8, 999.8), (999.8, 1899.8)
(999.8, 2399.8), (999.8, 9899.8)
(1000, 1100), (1000, 2000)
(1000, 2500), (1000, 9899.8)
(1099.8, 199.8), (1099.8, 999.8)
(1099.8, 2899.8), (1099.8, 9899.8)
(1100, 300), (1100, 1100)
(1100, 2399.8), (1100, 2500)
(1100, 3000), (1100, 9899.8)
(1199.8, 699.8), (1199.8, 2899.8)
(1199.8, 9799.8), (1199.8, 9899.8)
(1200, 199.8), (1200, 300)
(1200, 800), (1200, 3000)
(1300, 699.8), (1300, 800)
(1300, 9799.8), (1300, 9899.8)
(1499.8, 4499.8), (1499.8, 9899.8)
(1500, 4600), (1500, 4799.8)
(1500, 4900), (1500, 9899.8)
(1599.8, 7299.8), (1599.8, 9899.8)
(1600, 4499.8), (1600, 4600)
(1600, 4799.8), (1600, 4900)
(1600, 7400), (1600, 9899.8)
(1699.8, 1399.8), (1699.8, 7299.8)
(1699.8, 8199.8), (1699.8, 9899.8)
(1700, 1500), (1700, 7099.8)
(1700, 7200), (1700, 7299.8)
(1700, 8300), (1700, 9899.8)
(1800, 1399.8), (1800, 1500)
(1800, 7099.8), (1800, 7200)
(1800, 7299.8), (1800, 7400)
(1800, 8199.8), (1800, 8300)
(1999.8, 399.8), (1999.8, 9899.8)
(2000, 500), (2000, 8899.8)
(2000, 9100), (2000, 9899.8)
(2099.8, 6899.8), (2099.8, 8899.8)
(2100, 399.8), (2100, 500)
(2100, 7000), (2100, 9100)
(2199.8, 8799.8), (2199.8, 9899.8)
(2200, 6899.8), (2200, 7000)
(2200, 8900), (2200, 9899.8)
(2299.8, 1299.8), (2299.8, 8799.8)
(2300, 1400), (2300, 6299.8)
(2300, 6400), (2300, 8900)
(2400, 1299.8), (2400, 1400)
(2400, 6299.8), (2400, 6400)
(2499.8, 1199.8), (2499.8, 9899.8)
(2500, 1300), (2500, 9899.8)
(2599.8, 8299.8), (2599.8, 9899.8)
(2600, 1199.8), (2600, 1300)
(2600, 8400), (2600, 9899.8)
(2699.8, 799.8), (2699.8, 8299.8)
(2700, 900), (2700, 5699.8)
(2700, 5800), (2700, 8400)
(2800, 799.8), (2800, 900)
(2800, 5699.8), (2800, 5800)
(2899.8, 7399.8), (2899.8, 9899.8)
(2900, 7500), (2900, 9899.8)
(3000, 7399.8), (3000, 7500)
(3799.8, 3299.8), (3799.8, 9899.8)
(3800, 3400), (3800, 9899.8)
(3899.8, 1299.8), (3899.8, 3299.8)
(3899.8, 8699.8), (3899.8, 9899.8)
(3900, 1400), (3900, 3400)
(3900, 8800), (3900, 9899.8)
(3999.8, 5299.8), (3999.8, 8699.8)
(4000, 1299.8), (4000, 1400)
(4000, 5400), (4000, 8800)
(4100, 5299.8), (4100, 5400)
(4499.8, 899.8), (4499.8, 9899.8)
(4500, 1000), (4500, 8699.8)
(4500, 8800), (4500, 9899.8)
(4599.8, 0), (4599.8, 100)
(4600, 899.8), (4600, 1000)
(4600, 8699.8), (4600, 8800)
(4700, 0), (4700, 100)
(4799.8, 4399.8), (4799.8, 9899.8)
(4800, 4500), (4800, 5999.8)
(4800, 6100), (4800, 9799.8)
(4900, 4399.8), (4900, 4500)
(4900, 5999.8), (4900, 6100)
(4900, 9799.8), (4900, 9899.8)
(5099.8, 6199.8), (5099.8, 9899.8)
(5100, 6300), (5100, 9899.8)
(5200, 6199.8), (5200, 6300)
(5599.8, 9399.8), (5599.8, 9899.8)
(5600, 9500), (5600, 9899.8)
(5699.8, 6299.8), (5699.8, 9399.8)
(5700, 6400), (5700, 8099.8)
(5700, 8300), (5700, 9500)
(5800, 6299.8), (5800, 6400)
(5800, 8099.8), (5800, 8300)
(6199.8, 1799.8), (6199.8, 9899.8)
(6200, 1900), (6200, 8799.8)
(6200, 8900), (6200, 9899.8)
(6300, 1799.8), (6300, 1900)
(6300, 8799.8), (6300, 8900)
(6599.8, 7899.8), (6599.8, 9899.8)
(6600, 8000), (6600, 8499.8)
(6600, 8600), (6600, 9899.8)
(6699.8, 4999.8), (6699.8, 7899.8)
(6700, 5200), (6700, 8000)
(6700, 8499.8), (6700, 8600)
(6800, 4999.8), (6800, 5200)
(6899.8, 1999.8), (6899.8, 9899.8)
(6900, 2100), (6900, 9899.8)
(7000, 1999.8), (7000, 2100)
(7399.8, 5999.8), (7399.8, 9899.8)
(7400, 6100), (7400, 9899.8)
(7500, 5999.8), (7500, 6100)
(7599.8, 8999.8), (7599.8, 9899.8)
(7600, 9100), (7600, 9899.8)
(7699.8, 5899.8), (7699.8, 8999.8)
(7700, 6000), (7700, 9100)
(7800, 5899.8), (7800, 6000)
(7899.8, 299.8), (7899.8, 9899.8)
(7900, 400), (7900, 1799.8)
(7900, 1900), (7900, 9899.8)
(7999.8, 3799.8), (7999.8, 9899.8)
(8000, 299.8), (8000, 400)
(8000, 1799.8), (8000, 1900)
(8000, 3900), (8000, 9899.8)
(8100, 3799.8), (8100, 3900)
(8299.8, 7499.8), (8299.8, 9899.8)
(8300, 7600), (8300, 9899.8)
(8499.8, 7699.8), (8499.8, 9899.8)
(8500, 7499.8), (8500, 7600)
(8500, 7800), (8500, 9899.8)
(8599.8, 2699.8), (8599.8, 7699.8)
(8600, 2800), (8600, 3099.8)
(8600, 3200), (8600, 4199.8)
(8600, 4300), (8600, 4899.8)
(8600, 5000), (8600, 7800)
(8699.8, 2399.8), (8699.8, 2699.8)
(8699.8, 8499.8), (8699.8, 9899.8)
(8700, 2500), (8700, 2800)
(8700, 3099.8), (8700, 3200)
(8700, 4199.8), (8700, 4300)
(8700, 4899.8), (8700, 5000)
(8700, 8600), (8700, 9899.8)
(8800, 2399.8), (8800, 2500)
(8800, 8499.8), (8800, 8600)
(9099.8, 599.8), (9099.8, 9899.8)
(9100, 700), (9100, 2199.8)
(9100, 2300), (9100, 9899.8)
(9200, 599.8), (9200, 700)
(9200, 2199.8), (9200, 2300)
(9299.8, 2099.8), (9299.8, 9899.8)
(9300, 2200), (9300, 9899.8)
(9400, 2099.8), (9400, 2200)
(9499.8, 3499.8), (9499.8, 9899.8)
(9500, 3600), (9500, 9899.8)
(9600, 3499.8), (9600, 3600)
(9699.8, 6799.8), (9699.8, 9899.8)
(9700, 6900), (9700, 9899.8)
(9799.8, 2899.8), (9799.8, 6799.8)
(9800, 3000), (9800, 6900)
(9900, 2899.8), (9900, 3000)
(9999.8, 0), (9999.8, 9899.8)
(10000, 9999.8), (10000, 10000)
(0, 0), (99.8, 0)
(200, 0), (4599.8, 0)
(4700, 0), (9999.8, 0)
(99.8, 100), (200, 100)
(4599.8, 100), (4700, 100)
(1099.8, 199.8), (1200, 199.8)
(7899.8, 299.8), (8000, 299.8)
(1100, 300), (1200, 300)
(1999.8, 399.8), (2100, 399.8)
(7900, 400), (8000, 400)
(2000, 500), (2100, 500)
(9099.8, 599.8), (9200, 599.8)
(1199.8, 699.8), (1300, 699.8)
(9100, 700), (9200, 700)
(2699.8, 799.8), (2800, 799.8)
(1200, 800), (1300, 800)
(4499.8, 899.8), (4600, 899.8)
(2700, 900), (2800, 900)
(999.8, 999.8), (1099.8, 999.8)
(4500, 1000), (4600, 1000)
(1000, 1100), (1100, 1100)
(2499.8, 1199.8), (2600, 1199.8)
(2299.8, 1299.8), (2400, 1299.8)
(3899.8, 1299.8), (4000, 1299.8)
(2500, 1300), (2600, 1300)
(1699.8, 1399.8), (1800, 1399.8)
(2300, 1400), (2400, 1400)
(3900, 1400), (4000, 1400)
(1700, 1500), (1800, 1500)
(99.8, 1699.8), (200, 1699.8)
(6199.8, 1799.8), (6300, 1799.8)
(7900, 1799.8), (8000, 1799.8)
(100, 1800), (200, 1800)
(100, 1899.8), (200, 1899.8)
(899.8, 1899.8), (999.8, 1899.8)
(6200, 1900), (6300, 1900)
(7900, 1900), (8000, 1900)
(6899.8, 1999.8), (7000, 1999.8)
(100, 2000), (200, 2000)
(900, 2000), (1000, 2000)
(9299.8, 2099.8), (9400, 2099.8)
(6900, 2100), (7000, 2100)
(9100, 2199.8), (9200, 2199.8)
(9300, 2200), (9400, 2200)
(9100, 2300), (9200, 2300)
(999.8, 2399.8), (1100, 2399.8)
(8699.8, 2399.8), (8800, 2399.8)
(1000, 2500), (1100, 2500)
