79462239
660 660
(0, 0), (0, 1299.8)
(0, 1500), (0, 1799.8)
(0, 1900), (0, 2399.8)
(0, 2500), (0, 2699.8)
(0, 2800), (0, 2999.8)
(0, 3200), (0, 3399.8)
(0, 3500), (0, 4499.8)
(0, 4600), (0, 4799.8)
(0, 4900), (0, 5299.8)
(0, 5400), (0, 5599.8)
(0, 5700), (0, 6099.8)
(0, 6200), (0, 6399.8)
(0, 6500), (0, 6799.8)
(0, 6900), (0, 7399.8)
(0, 7600), (0, 8399.8)
(0, 8600), (0, 9499.8)
(0, 9700), (0, 10000)
(0.2, 9899.8), (0.2, 9999.8)
(99.8, 799.8), (99.8, 1299.8)
(99.8, 8799.8), (99.8, 9499.8)
(100, 1000), (100, 1500)
(100, 2399.8), (100, 2500)
(100, 2999.8), (100, 3200)
(100, 3399.8), (100, 3500)
(100, 4499.8), (100, 4600)
(100, 4799.8), (100, 4900)
(100, 5299.8), (100, 5400)
(100, 5599.8), (100, 5700)
(100, 6099.8), (100, 6200)
(100, 6399.8), (100, 6500)
(100, 6799.8), (100, 6900)
(100, 7399.8), (100, 7499.8)
(100, 8399.8), (100, 8600)
(100, 8900), (100, 9700)
(199.8, 1900), (199.8, 2000)
(200, 799.8), (200, 1000)
(200, 7499.8), (200, 7600)
(200, 8799.8), (200, 8900)
(299.8, 9799.8), (299.8, 9899.8)
(300, 1799.8), (300, 2000)
(300, 2699.8), (300, 2800)
(400, 9799.8), (400, 9899.8)
(499.8, 699.8), (499.8, 9899.8)
(500, 900), (500, 1499.8)
(500, 1800), (500, 9099.8)
(500, 9200), (500, 9899.8)
(600, 800), (600, 900)
(600, 1499.8), (600, 1800)
(600, 9099.8), (600, 9200)
(699.8, 0), (699.8, 100)
(699.8, 999.8), (699.8, 9800)
(700, 699.8), (700, 800)
(700, 1100), (700, 9599.8)
(799.8, 9800), (799.8, 9899.8)
(800, 0), (800, 100)
(800, 999.8), (800, 1100)
(800, 9599.8), (800, 9699.8)
(899.8, 0), (899.8, 100)
(899.8, 699.8), (899.8, 9699.8)
(900, 1000), (900, 2599.8)
(900, 2700), (900, 6299.8)
(900, 6400), (900, 9699.8)
(999.8, 5199.8), (999.8, 6299.8)
(999.8, 7699.8), (999.8, 9699.8)
(1000, 0), (1000, 100)
(1000, 800), (1000, 1000)
(1000, 2599.8), (1000, 2700)
(1000, 5300), (1000, 5499.8)
(1000, 5700), (1000, 6400)
(1000, 7800), (1000, 9699.8)
(1099.8, 9599.8), (1099.8, 9699.8)
(1100, 699.8), (1100, 800)
(1100, 5199.8), (1100, 5300)
(1100, 5499.8), (1100, 5700)
(1100, 9800), (1100, 9899.8)
(1199.8, 0), (1199.8, 200)
(1199.8, 4299.8), (1199.8, 7699.8)
(1199.8, 9499.8), (1199.8, 9599.8)
(1200, 4400), (1200, 7800)
(1200, 9600), (1200, 9800)
(1300, 0), (1300, 200)
(1300, 4299.8), (1300, 4400)
(1399.8, 9600), (1399.8, 9700)
(1499.8, 7699.8), (1499.8, 9499.8)
(1500, 7800), (1500, 9499.8)
(1500, 9600), (1500, 9700)
(1599.8, 0), (1599.8, 100)
(1600, 9499.8), (1600, 9600)
(1699.8, 7499.8), (1699.8, 7699.8)
(1700, 0), (1700, 100)
(1799.8, 1299.8), (1799.8, 7499.8)
(1800, 1400), (1800, 3099.8)
(1800, 3200), (1800, 7800)
(1899.8, 2999.8), (1899.8, 3099.8)
(1900, 1299.8), (1900, 1400)
(1999.8, 799.8), (1999.8, 2999.8)
(2000, 1000), (2000, 3200)
(2100, 799.8), (2100, 1000)
(2199.8, 6699.8), (2199.8, 9899.8)
(2200, 6800), (2200, 9899.8)
(2299.8, 0), (2299.8, 100)
(2299.8, 6599.8), (2299.8, 6699.8)
(2399.8, 100), (2399.8, 300)
(2399.8, 6800), (2399.8, 6900)
(2400, 6599.8), (2400, 6699.8)
(2499.8, 5899.8), (2499.8, 6699.8)
(2500, 100), (2500, 300)
(2500, 6000), (2500, 6900)
(2599.8, 2799.8), (2599.8, 5899.8)
(2599.8, 6699.8), (2599.8, 9899.8)
(2600, 0), (2600, 100)
(2600, 3000), (2600, 6000)
(2600, 6900), (2600, 9899.8)
(2699.8, 0), (2699.8, 100)
(2699.8, 5799.8), (2699.8, 6699.8)
(2700, 2799.8), (2700, 2899.8)
(2700, 5900), (2700, 6900)
(2799.8, 5599.8), (2799.8, 5799.8)
(2799.8, 6799.8), (2799.8, 9899.8)
(2800, 2899.8), (2800, 3000)
(2800, 7200), (2800, 9899.8)
(2899.8, 699.8), (2899.8, 5599.8)
(2900, 0), (2900, 100)
(2900, 1000), (2900, 5499.8)
